Hunt Code,Unit/Description,Bag,Licenses,1st_choice_total_submissions,2nd_choice_total_submissions,3rd_choice_total_submissions,Total_all_submissions,1st_resident,2nd_resident,3rd_resident,Total_resident,1st_nonresident,2nd_nonresident,3rd_nonresident,Total_nonresident,1st_outfitter,2nd_outfitter,3rd_outfitter,Total_outfitter,Resident_successfull_draw_total,Nonresident_successfull_draw_total,Outiftter_successfull_draw_total,Total_drawn,Resident_percentage_allocation,nonresident_percentage_allocation,outfitter_percentage_allocation,total_allocation_of_available_tags,resident_1st_success,resident_2nd_success,resident_3rd_success,resident_4th_success,resident_total_success,nonresident_1st_success,nonresident_2nd_success,nonresident_3rd_success,nonresident_4th_success,nonresident_total_success,outfitter_1st_success,outfitter_2nd_success,outfitter_3rd_success,outfitter_4th_success,outfitter_total_success
DER-3-269,Unit 25,FAD,45,21,11,40,72,18,9,38,65,3,2,2,7,0,0,0,0,42,3,0,45,93.33,6.67,0,100,16,4,22,0,42,2,0,1,0,3,0,0,0,0,0
DER-3-274,Unit 26,FAD,60,7,10,19,36,5,7,14,26,2,2,5,9,0,1,0,1,14,5,0,19,23.33,8.33,0,31.66,5,4,5,0,14,2,0,3,0,5,0,0,0,0,0
DER-3-285,Unit 27,FAMD,40,13,12,28,53,11,8,20,39,2,4,8,14,0,0,0,0,20,9,0,29,50,22.5,0,72.5,11,4,5,0,20,2,3,4,0,9,0,0,0,0,0
DER-3-286,Unit 27,FAWTD,50,18,22,32,72,8,14,18,40,6,8,13,27,4,0,1,5,25,19,4,48,50,38,8,96,8,6,11,0,25,4,5,10,0,19,4,0,0,0,4
DER-3-293,Unit 29,FAD,70,4,19,15,38,3,12,13,28,1,7,2,10,0,0,0,0,55,8,0,63,78.57,11.43,0,90,3,10,5,37,55,1,5,0,2,8,0,0,0,0,0
DER-3-299,Unit 30,FAD,325,158,106,176,440,117,88,137,342,41,18,37,96,0,0,2,2,231,63,0,294,71.08,19.38,0,90.46,116,46,69,0,231,33,5,25,0,63,0,0,0,0,0
DER-3-304,Unit 31,FAD,175,130,110,234,474,98,78,184,360,23,27,41,91,9,5,9,23,147,11,17,175,84,6.29,9.71,100,69,16,62,0,147,8,0,3,0,11,9,5,3,0,17
DER-3-311,Unit 32,FAD,175,72,61,103,236,63,52,88,203,9,7,15,31,0,2,0,2,122,25,2,149,69.71,14.29,1.14,85.14,63,24,35,0,122,9,6,10,0,25,0,2,0,0,2
DER-3-316,Unit 33: restricted muzzleloader only,FAD,140,91,63,128,282,75,49,104,228,16,12,13,41,0,2,11,13,125,8,7,140,89.29,5.71,5,100,66,23,36,0,125,5,1,2,0,8,0,2,5,0,7
DER-3-317,"Unit 33: Huey WMA only, youth only",ES,5,25,8,18,51,25,8,18,51,0,0,0,0,0,0,0,0,5,0,0,5,100,0,0,100,4,0,1,0,5,0,0,0,0,0,0,0,0,0,0
